Fecha,Tienda,SKU,Producto,Categoría,Precio (€),Coste_unitario (€),Margen_unitario (€),Unidades_vendidas,Tipo_cliente,Canal_venta,Método_pago,Campaña,Temporada,Stock_inicial,Stock_final,Reposición_necesaria,Región
2024-06-17,NY Soho,GG-SN251,Ball Star,Sneakers,843.3,437.33,405.97,1,Regular,Físico,Tarjeta,Colección Primavera,Otoño,18,17,False,EE.UU.
2024-10-30,Madrid Serrano,GG-SN756,Ball Star,Sneakers,1826.5,1098.55,727.95,0,Regular,Físico,Online,Colección Primavera,Otoño,6,6,True,Europa
2024-04-22,GoldenGoose.com,GG-SN569,Ball Star,Sneakers,1027.05,454.23,572.82,2,Turista,Online,Tarjeta,Edición Limitada,Invierno,32,30,False,Global
2024-04-02,Tokio Ginza,GG-BO844,Tote GG,Bolsos,1732.3,972.78,759.52,1,Regular,Físico,Tarjeta,Navidad Exclusiva,Primavera,18,17,False,Asia
2024-09-13,NY Soho,GG-AC587,Bufanda Lux,Accesorios,1833.45,1060.46,772.99,3,Regular,Físico,Tarjeta,,Verano,13,10,False,EE.UU.
2024-08-28,Madrid Serrano,GG-AC433,Bufanda Lux,Accesorios,752.25,346.07,406.18,4,Regular,Físico,Tarjeta,Edición Limitada,Primavera,21,17,False,Europa
2024-03-08,GoldenGoose.com,GG-BO906,Tote GG,Bolsos,1818.59,899.35,919.24,1,Turista,Online,Online,,Verano,6,5,True,Global
2024-05-03,Tokio Ginza,GG-AC417,Cinturón Star,Accesorios,514.56,290.0,224.56,1,Regular,Físico,Tarjeta,Edición Limitada,Otoño,21,20,False,Asia
2024-02-28,París Marais,GG-BO975,Mini Clutch,Bolsos,1804.8,725.98,1078.82,3,Regular,Físico,Online,Colección Primavera,Otoño,18,15,False,Europa
2024-07-22,GoldenGoose.com,GG-AC543,Cinturón Star,Accesorios,1001.51,540.47,461.04,1,Regular,Online,Tarjeta,Navidad Exclusiva,Verano,20,19,False,Global
2024-10-12,París Marais,GG-SN313,Super-Star,Sneakers,1246.84,752.89,493.95,3,Turista,Físico,Online,Edición Limitada,Verano,17,14,False,Europa
2024-08-20,Madrid Serrano,GG-AC477,Cinturón Star,Accesorios,1144.6,652.9,491.7,3,Regular,Físico,Online,Colección Primavera,Invierno,14,11,False,Europa
2024-10-31,Madrid Serrano,GG-SN641,Super-Star,Sneakers,1380.73,667.68,713.05,0,VIP,Físico,Online,Navidad Exclusiva,Primavera,10,10,False,Europa
2024-05-11,Madrid Serrano,GG-CH332,Leather Biker,Chaquetas,1032.85,426.05,606.8,0,Regular,Físico,Online,Edición Limitada,Primavera,23,23,False,Europa
2024-10-06,GoldenGoose.com,GG-BO529,Tote GG,Bolsos,1521.51,634.15,887.36,1,VIP,Online,Tarjeta,Colección Primavera,Invierno,21,20,False,Global
2024-05-18,Madrid Serrano,GG-AC749,Bufanda Lux,Accesorios,1081.04,564.76,516.28,1,Turista,Físico,Online,Navidad Exclusiva,Otoño,27,26,False,Europa
2024-11-09,París Marais,GG-CH846,Leather Biker,Chaquetas,1200.16,608.96,591.2,1,Regular,Físico,Tarjeta,Colección Primavera,Primavera,22,21,False,Europa
2024-05-09,NY Soho,GG-CH847,Denim Glow,Chaquetas,687.9,342.16,345.74,3,Regular,Físico,Tarjeta,Navidad Exclusiva,Primavera,27,24,False,EE.UU.
2024-06-18,París Marais,GG-AC633,Bufanda Lux,Accesorios,1761.75,819.9,941.85,1,Regular,Físico,Tarjeta,Colección Primavera,Otoño,26,25,False,Europa
2024-09-01,Madrid Serrano,GG-SN952,Stardan,Sneakers,1751.77,886.83,864.94,2,Regular,Físico,Tarjeta,Edición Limitada,Invierno,23,21,False,Europa
2024-06-14,Milán Centro,GG-BO225,Star Bag,Bolsos,590.75,296.18,294.57,4,Turista,Físico,Tarjeta,Edición Limitada,Verano,19,15,False,Europa
2024-05-04,Milán Centro,GG-CH980,Bomber Star,Chaquetas,736.66,319.12,417.54,1,Regular,Físico,Online,Colección Primavera,Otoño,10,9,True,Europa
2024-09-13,París Marais,GG-CH495,Bomber Star,Chaquetas,1363.76,787.0,576.76,2,VIP,Físico,Tarjeta,Colección Primavera,Primavera,24,22,False,Europa
2024-10-25,GoldenGoose.com,GG-SN469,Ball Star,Sneakers,1214.05,562.14,651.91,2,VIP,Online,Tarjeta,Colección Primavera,Verano,23,21,False,Global
2024-01-25,GoldenGoose.com,GG-BO607,Star Bag,Bolsos,799.49,504.54,294.95,2,Regular,Online,Tarjeta,Edición Limitada,Verano,7,5,True,Global
2024-11-28,París Marais,GG-BO289,Tote GG,Bolsos,1779.3,791.09,988.21,0,Regular,Físico,Tarjeta,Colaboración GGxArt,Invierno,16,16,False,Europa
2024-06-16,GoldenGoose.com,GG-SN553,Super-Star,Sneakers,1256.58,580.49,676.09,5,Turista,Online,Online,Navidad Exclusiva,Verano,21,16,False,Global
2024-11-10,Tokio Ginza,GG-SN171,Super-Star,Sneakers,970.38,609.42,360.96,3,Regular,Físico,Online,Edición Limitada,Verano,27,24,False,Asia
2024-05-21,Tokio Ginza,GG-BO415,Mini Clutch,Bolsos,1844.35,902.21,942.14,1,VIP,Físico,Online,Colección Primavera,Otoño,22,21,False,Asia
2024-12-21,GoldenGoose.com,GG-AC886,Gorra Logo,Accesorios,825.59,476.88,348.71,1,Turista,Online,Online,Edición Limitada,Otoño,27,26,False,Global
2024-02-29,Madrid Serrano,GG-SN179,Running Sole,Sneakers,1235.54,638.8,596.74,2,Turista,Físico,Online,Edición Limitada,Otoño,12,10,False,Europa
